hour,small_part,med_part,sulf_diox,nitr_diox,trioxygen,temp,pres,rain,wind,wind_sp,day,month,year,carb_monox
4,14,14,2,51,39,25.9,998.1,0,NNW,2.3,24,Aug,2015,400
21,52,99,2,31,174,28.8,996.3,0,NE,1.6,16,Aug,2016,800
22,74,163,23,56,109,20.9,1009.3,0,SSW,1.1,16,May,2014,800
5,247,247,46,97,12,2,1008,0,NW,2.1,15,Feb,2016,3900
7,30,30,9,48,22,13.9,1013.4,0,NNW,1.9,12,Oct,2016,500
9,69,99,46,63,1,8.5,1015,0,S,0.6,4,Dec,2014,2100
5,130,130,2,34,54,17.4,1002.5,0,NNW,1.1,30,Apr,2016,1000
7,43,71,2,52,19,22.8,1003.5,0,ESE,2.2,19,Aug,2016,600
3,9,46,2,17,59,-0.3,1018,0,NNE,1.7,11,Mar,2017,400
9,132,160,18,87,4,-3,1023.4,0,NE,0.9,11,Dec,2017,4200
17,26,26,5,45,30,10.2,1002.6,0,WNW,3.6,10,Nov,2017,600
8,21,53,19,32,52,32.7,992.8,0,NNE,1.5,10,Jul,2015,500
14,37,37,4,47,40,30.7,1001,0,NNW,1.4,13,Aug,2017,900
4,110,168,24,54,,7.3,1025.4,0,ENE,0.8,26,Mar,2016,1100
3,266,370,59,113,2,-0.7,1032,0,NE,1.6,15,Dec,2015,4700
22,35,81,2,47,79,23.1,995.9,0,E,1.2,29,May,2017,600
19,218,260,5,104,5,-1.5,1015.3,0,NE,0.1,3,Jan,2017,3600
3,10,16,13,15,53,-6,1025,0,NNE,1.1,30,Jan,2016,500
18,19,230,5,12,77,9.2,1009.3,0,NW,5,8,Apr,2014,400
14,59,59,2,16,107,26.8,996,0,E,1.1,30,Jul,2016,800
14,59,59,35,35,38,10.5,1007.8,0,WNW,2.2,24,Jan,2015,800
13,162,162,3,75,113,29,995.2,0,ENE,0.7,16,Jun,2015,1000
3,185,269,39,80,13,-1,1011,0,NE,1.4,24,Feb,2016,2700
17,34,53,19,27,64,6,1019,0,W,5,3,Feb,2016,600
13,131,145,48,55,93,16.6,1009.4,0,SSW,3.3,2,Apr,2014,1600
1,136,170,2,126,20,15,1005.5,0,N,1.5,1,Oct,2017,1400
9,36,54,3,40,67,27.1,1007.4,0,ENE,0.9,9,Aug,2016,800
4,211,211,7,98,6,4.7,1013.8,0,ESE,0.4,10,Nov,2017,3200
18,31,84,2,20,274,34,994.7,0,SE,1.7,16,Aug,2016,600
15,158,158,43,82,35,2.7,1020,0,SW,1.3,25,Jan,2018,2400
15,19,23,10,5,87,10.6,1010.6,0,WNW,5.3,8,Feb,2017,400
13,70,81,4,20,173,28.8,998.1,0,S,1.4,17,Jul,2017,1100
14,86,103,47,61,25,3,1019,0,SW,1.7,24,Jan,2016,2000
5,,,,,,1.3,1018,0,NE,2.3,24,Dec,2015,1222.923
4,38,107,8,63,3,0.8,1020.7,0,N,0.9,23,Mar,2016,1100
3,273,254,27,23,114,17.2,1006.2,0,NNE,0.5,6,May,2014,1899
18,47,96,5,108,12,14.7,1011.3,0,NNE,1.1,2,Nov,2016,700
20,157,205,35,149,12,11.4,1005.1,0,N,1.8,2,Mar,2017,2300
19,385,388,67,127,3,7.3,1014.6,0,NE,1.5,4,Mar,2017,6100
9,32,45,15,50,6,-4.4,1024.9,0,SSE,1.2,17,Dec,2016,1300
11,18,39,5,11,104,25.7,1012.7,0,NNW,3.5,20,May,2016,200
0,100,161,58,85,2,-5,1021,0,NW,0.7,7,Jan,2016,2200
21,60,161,36,97,13,18.3,1002.5,0,WSW,2.2,12,Apr,2014,800
8,13,13,2,54,53,15.7,992.6,0,NW,3.6,12,May,2016,500
2,31,31,11,60,16,-4.1,1034.4,0,ESE,2,27,Dec,2016,1000
21,121,275,54,80,8,5.1,1011.8,0,SSE,1,6,Mar,2017,2200
23,218,234,26,34,184,26.3,997.1,0,ENE,1.2,15,Jun,2014,1899
20,20,20,3,49,111,24.3,1002.1,0,W,0.6,6,Aug,2015,300
9,13,22,16,59,8,-2,1029,0,ENE,1.9,2,Jan,2016,700
12,148,177,45,105,3,-1.4,1020,0,SSW,1.5,30,Dec,2017,3700
17,147,245,9,86,31,12.8,1015.1,0,SE,1.7,19,Nov,2017,1700
23,13,24,21,17,72,0.9,1027,0,NNE,2.6,4,Feb,2017,600
5,99,99,3,85,2,16.5,1003.3,0,NNW,1.5,21,Sep,2016,1100
15,8,8,2,3,76,22.4,1011.5,0,NE,3.5,29,Sep,2015,200
3,17,29,2,37,29,22.6,1006.5,0,NNE,1.5,25,Aug,2016,500
18,72,79,29,81,25,-0.7,1025.8,0,SE,0,28,Jan,2017,1500
1,109,110,8,82,3.4272,4.5,1018.3,0,NE,0.4,31,Oct,2014,1300
6,56,154,7,98,2,11.3,1007.5,0,NW,1.5,25,Apr,2016,1100
12,9,6,13,14,57,-0.9,1021,0,W,6.2,9,Jan,2015,300
6,85,106,27,77,17,-4,1010,0,ENE,1.2,13,Feb,2016,2400
16,56,67,8,61,68,17.3,1022,0,SW,1.9,24,Oct,2016,1500
7,24,24,5,65,18,10.6,1025.7,0,SE,1.3,25,Oct,2016,600
9,11,40,24,34,66,32.7,997.6,0,N,2.4,28,Jun,2015,400
12,327,327,2,141,11,-1.3,1026.3,0,E,1.5,28,Nov,2016,5000
10,184,225,11,91,5.7834,10.9,1014.3,0,ESE,0.8,2,Nov,2014,2200
22,92,92,4,50,66,22.6,1000,0,SSE,0,19,Jun,2015,900
3,221,221,56,105,12,1.5,1014.5,0,NE,1.1,8,Mar,2016,2300
17,144,191,19,134,1.2852,9.6,1021.1,0,WSW,1.1,31,Oct,2014,1500
9,88,100,51,61,8,-2,1009,0,NNW,1.1,13,Feb,2016,2200
3,149,61,11,28,,24,994.9,0.1,NE,0.7,1,Jul,2014,1222.923
6,9,18,7,16,71,6.1,1013.7,0,NNW,6,9,Apr,2014,400
1,54,140,13,62,30,10.4,1003.4,0,N,0.6,31,Mar,2017,1000
6,244,244,2,43,30,23.9,996.1,0,W,0.6,3,Jul,2015,1500
17,76,118,9,22,182,28.3,1003,0,WSW,3,5,Sep,2015,700
5,216,213,82,130,4,-6.3,1018.8,0,NNW,1.5,25,Dec,2014,1000
12,41,41,17,55,19,13.5,1016,0,W,1.6,10,Nov,2015,800
1,49,98,23,39,36,5,1002.8,0,NNW,1.5,15,Mar,2015,800
21,17,349,2,3,62,9.4,1019,0,WNW,9.2,11,Nov,2015,200
15,4,40,4,40,61,5.1,1021.5,0,WNW,5.3,9,Mar,2017,500
11,30,32,16,35,23.562,2.6,1022.7,0,ENE,3.2,14,Dec,2014,900
12,107,159,15,89,12,15.6,1017.8,0,S,1.1,29,Oct,2015,1100
12,32,32,2,10,98,22.1,1007.3,0,WNW,3.2,6,May,2017,200
0,71,154,11,36,146,26,1001.5,0,SW,3.3,27,May,2016,700
2,245,313,47,118,2,-2.9,1022,0,NE,0.9,9,Dec,2015,5300
3,30,31,22,49,6,-4,1023,0,N,0.6,28,Jan,2016,900
23,,153,39,50,71,19.9,1005.2,0,SW,2.4,29,Apr,2015,1200
6,145,145,2,25,108,27.9,993.2,0,S,1.5,3,Aug,2015,1100
8,11,22,9,25,58,-2.9,1027.4,0,NNW,2.5,5,Feb,2017,500
13,181,181,2,90,20,22.7,1005.8,0,NNW,1.4,25,Sep,2017,1600
20,190,208,78,100,1,-0.9,1007.2,0,ENE,1.2,29,Jan,2015,2600
18,192,242,76,156,2,3,1008,0,S,1,4,Jan,2016,3400
4,21,22,2,38,25,20.3,996.1,0,NE,0.4,6,Aug,2016,300
9,34,19,4,46,2,23.1,994.5,3.3,NE,0.5,15,Jul,2014,1500
2,24,43,2,41,33,15,1010.3,0,NW,1.4,21,Sep,2017,600
12,65,124,33,60,118,28.7,1004.5,0,S,1.9,25,May,2014,800
14,11,17,8,16,92,26.2,1003.5,0,SSE,1.4,5,Sep,2014,400
22,229,280,17,69,2,6.5,1009.7,0,NE,2,31,Mar,2014,1700
18,128,239,63,61,93,13.8,1006.3,0,SSE,1.8,16,Mar,2015,1300
10,116,116,24,63,77,19.9,1010.1,0,WSW,2.3,8,May,2015,1100
23,120,162,14,96,1,6.6,1019.6,0,WSW,0.2,16,Oct,2014,1200
6,22,51,3,46,2,11.3,1019.8,0,SSE,1.9,30,Sep,2015,700
5,19,39,1,28,66,21.2,1000,0,N,0.7,25,Aug,2014,500
9,283,330,87,102,9,3.9,1011.3,0,SE,0.4,7,Mar,2016,4400
2,70,70,5,94,83,25.7,992.7,0,NE,0.9,13,Jul,2016,800
18,23,24,2,41,14,2.4,1020.4,0,NE,2.5,20,Nov,2017,800
18,84,102,2,46,166,24.6,1008.9,0,W,1.1,29,Aug,2015,700
8,29,39,24,51,1.4994,12.2,1020.8,0,N,1.6,29,Oct,2014,800
2,35,35,2,7,142,22.5,999.8,0,NW,1.8,1,Jun,2015,600
17,3,17,6,40,31,14.6,1017.1,0,NE,3.9,19,Oct,2014,300
12,98,98,8,74,120,31.8,1002.3,0,SSW,2.1,8,Aug,2015,1200
22,116,121,2,74,3,5.1,1020.2,0,SW,2,9,Nov,2016,1700
8,27,141,3,34,21,29.1,992.1,0,W,0.5,29,Jul,2014,700
9,15,83,2,7,99,27.3,1005.2,0,NW,5.8,2,Jun,2016,200
18,179,188,33,105,3,-0.6,1019.8,0,ENE,2.4,28,Nov,2016,3500
18,236,275,79,107,9,2.3,1021.5,0,W,0.8,21,Feb,2015,2300
23,92,129,2,58,98,25.9,999.2,0,N,0.8,28,Jul,2016,900
16,205,240,84,89,81,11,1007.7,0,E,1.1,15,Mar,2014,1700
13,61,62,7,16,169,30,1001.6,0,ESE,2.4,10,Jul,2016,700
20,28,67,2,48,50,18.7,1007.7,0,NE,1.3,27,Sep,2015,600
0,30,72,2,103,9,19.2,1008.6,0,W,1.1,7,Sep,2016,900
10,75,96,53,57,23,-1.3,1024.5,0,SE,1.3,18,Feb,2015,1500
4,75,75,2,51,30,20.6,1003,0,SW,0.6,21,Jun,2015,600
12,17,36,16,20,91,31.4,998.5,0,SSW,1.7,28,Aug,2016,400
13,67,67,2,6,136,28.7,994.9,0,SW,1.3,22,Jul,2016,400
16,9,30,9,6,56,0.5,1027.6,0,NNW,3.3,26,Dec,2014,400
21,63,105,9,75,37.9134,15.2,1005.6,0,N,2.1,26,Sep,2014,1222.923
0,121,136,24,85,2,-5.7,1018.8,0,NNW,0.9,31,Dec,2017,3000
19,22,46,4,43,142,31.4,1003.6,0,ESE,1.2,10,Aug,2016,700
15,28,28,2,29,36,10.7,1009.6,0.3,NNW,1.2,9,May,2016,700
13,28,51,11,22,88,25.4,1004.6,0,SSE,3,30,Mar,2015,400
9,25,25,3,21,21,9.1,1021.8,0,N,3.3,28,Oct,2017,100
8,24,24,2,46,35,24.6,1003,0,E,0.8,22,Aug,2015,600
1,50,76,10,38,27,-1,1021,0,E,2,28,Feb,2016,1000
18,127,201,3,39,161,27.1,1000.4,0,W,2.1,7,Sep,2015,1100
10,190,234,74,78,51,23.2,1012.7,0,SSW,1.1,5,May,2014,1300
4,13,22,2,28,67,19.1,1004.6,0,ENE,0.3,26,Aug,2015,400
7,166,188,7,68,2,6.6,1014.9,0,ENE,1.8,13,Nov,2016,3000
23,142,187,2,58,95,23.8,1003.1,0,SSE,0,6,Sep,2015,800
4,46,76,4,23,61,12.1,995.8,0,W,1.2,5,May,2016,500
13,82,99,46,61,24,4,1012,0,ENE,1.2,20,Jan,2016,1600
4,18,53,7,34,50,4.4,1008.3,0,NW,2.5,18,Feb,2017,600
1,217,217,14,98,2,-2.1,1018.7,0,NW,1.6,15,Feb,2018,3100
11,57,66,32,47,8.3538,0.7,1024.7,0,NE,1.8,16,Dec,2014,1222.923
16,,55,2.2848,15.1922,218.2698,32.6,987.6,0,NNE,1.4,27,Jun,2014,1222.923
15,154,183,84,98,15,-3.9,1029.2,0,ESE,1.7,20,Jan,2017,4600
2,52,63,22,59,33,17.2,1005.5,0,S,0.9,9,May,2014,500
13,75,70,55,48,40,1.1,1023.6,0,SW,3,18,Feb,2015,1100
16,34,68,20,51,40,14.1,1026,0,NNW,2.4,21,Nov,2015,800
12,63,101,35,55,21,0.7,1021,0,E,2.2,17,Dec,2015,1300
20,290,314,15,135,42,12.1,1000.8,0,SSE,0.7,17,Mar,2017,2500
17,22,57,5,47,47,16.7,1010.4,0.6,SSW,1.7,30,Sep,2016,700
17,41,98,2,11,103,29.7,982.4,0,NNW,2.9,12,May,2016,300
7,17,25,22.848,29.1526,16.065,-7.3,1025.3,0,NE,1.9,19,Dec,2014,1222.923
5,164,168,98,88,2,-2.2,1017,0,WNW,0.8,3,Mar,2015,3700
23,5,34,2,18,81,22.2,992.6,0,N,0.9,27,May,2015,300
10,29,47,30,50,30,10.4,1017.6,0,W,1.2,13,Mar,2015,900
15,,,17,39,122,25.8,992.8,0,SSE,2.7,5,May,2017,1222.923
0,102,107,10,56,5,4.5,1021,0,S,1.7,19,Nov,2016,1300
18,50,63,6,27,204,27.7,1004.5,0,S,2.8,22,May,2017,700
16,12,15,2,4,94,27.8,990.1,0,S,3.2,30,Jun,2016,100
11,39,70,43,58,10,2,1028.6,0,NE,3.3,20,Dec,2014,1200
12,9,25,4,45,7,16.6,1011.2,0,NW,1.8,23,Sep,2014,400
2,28,34,2,12,54,24.5,998.4,0,NW,0.7,1,Aug,2016,400
22,433,433,12,201,3,1.2,1020.1,0,SW,0.2,21,Dec,2017,7700
8,54,19,1,20,38,23.1,1009.6,0,W,0.8,7,Sep,2014,800
23,143,196,17,54,100,20.3,1003.7,0,SW,0.9,17,May,2014,1000
18,19,24,9,41,48,0.7,1025.6,0,NNW,3.1,4,Jan,2017,700
0,13,81,6,52,19.7064,11.7,998.4,0,SW,0.6,20,May,2014,300
16,30,51,17,45,76,24.1,1003.9,0,SW,1.7,16,Sep,2014,700
19,156,238,17,146,2,3.5,1021.3,0,SSW,0.5,23,Nov,2015,3100
13,23,23,2,15,82,19,995.3,0.1,NNW,1.9,13,Jun,2017,400
8,332,332,5,91,2,14.7,1015.2,0,ENE,1.2,9,Oct,2015,2000
19,172,213,24,121,2,3.3,1021,0,N,1.1,25,Nov,2015,3100
19,,74,2,39,221,30.6,996.1,0,SSE,2.7,25,Jul,2015,800
23,365,501,12,117,2,-2.9,1018.2,0,N,0.9,22,Dec,2016,8700
15,55,55,2,8,131,28.8,1009.5,0,WNW,4.3,20,May,2016,200
18,14,15,2,10,87,8.1,1019.3,0,NE,2.6,12,Apr,2016,300
8,4,38,3,33,23,16.5,1006.2,0,ESE,0.6,26,Sep,2016,600
7,14,17,7,24,47,-9.3,1025.8,0,NNW,1.4,12,Jan,2017,600
0,56,69,1,34,75,19,1006.8,0,N,1.2,22,Sep,2014,800
17,18,5,10,12,78,6.7,1021.4,0,ENE,1.4,27,Feb,2015,400
16,80,106,18,56,29,-2.26,1021,0,,0.1,15,Jan,2018,900
20,98,127,8,124,2,5,1017,0,WNW,0.5,10,Nov,2015,1500
0,40,28,3,8,101,23.7,990.2,0,NNW,1.8,24,Jul,2014,600
16,21,39,2,30,60,20.5,1007.2,0.2,NE,1.2,19,Jun,2016,600
21,71,135,4,32,144,30.6,996.1,0,NE,1,12,Aug,2016,700
5,13,13,2,20,43,2.1,1014.7,0,WNW,4.5,22,Dec,2017,700
21,11,11,5,34,29,-1.6,1020,0,WSW,2.5,15,Dec,2016,600
2,73,156,10,111,2,16.3,1011.1,0,ENE,1.3,28,Sep,2015,1500
0,36,108,8,98,2,2.3,1013.4,0,NE,0.8,11,Apr,2014,1200
19,68,173,2,26,216,27.6,997.2,0,E,1.8,20,Jun,2017,800
7,6,11,4,13,55,-7.03333333333333,1027,0,NE,1.9,22,Jan,2018,500
22,22,41,2,34,72,19.5,1006.9,0,NW,1.1,13,Sep,2016,600
21,16,27,7,20,42,19.6,1003.2,0,N,1.1,30,Aug,2014,400
16,54,124,34.8432,67.5437,132.1614,26.6,1002.4,0,WSW,0.7,20,Jun,2014,1222.923
4,,,,,,26.6,994.9,0,E,1,29,Jul,2015,1222.923
20,131,144,62,97,10,4.5,1010.9,0,NE,2,10,Mar,2015,2100
22,116,285,43,90,62,18.5,1005.2,0,SE,1,17,Apr,2016,1100
17,90,68,28,41,37,-3.7,1015.3,0.1,SE,0.7,7,Feb,2015,1300
12,13,18,2,18,112,33.1,995.9,0,WSW,1.4,13,Jul,2017,400
7,160,160,2,44,7,11.3,1011.7,0,NW,0.9,14,Oct,2017,1900
9,92,142,52,88,,19.4,1008.4,0,NNW,0.9,2,May,2014,1399
15,23,34,21,23,51,5.8,1018,0,W,3.2,13,Dec,2015,500
5,58,93,13,47,22,7.6,993.5,0,ESE,0.6,13,Apr,2014,900
13,74,74,13,30,261,31,1008.5,0,SE,2.2,9,Jul,2016,800
4,49,108,6,88,2,26.1,994.6,0,NNE,0.7,29,Jul,2014,800
14,97,97,5,14,176,33.1,995.6,0,WSW,3.9,29,Jul,2015,400
4,94,77,5,59,31,25.5,1000.1,0,S,0.8,13,Aug,2014,700
20,137,278,42,149,2,10.6,1005.5,0,SE,1.3,15,Mar,2015,2300
13,25,25,2,28,87,18.1,1001.6,0,SW,3.1,11,May,2016,600
7,169,170,10,61,2,-2,1020,0,NE,1.3,26,Jan,2016,3000
1,118,118,8,81,3,-1.7,1018,0,W,1.6,13,Dec,2016,2300
19,16,23,13,27,65,5.1,1018.1,0,NW,1.5,12,Mar,2015,500
13,96,123,105,76,14.5656,12.8,1009.9,0,S,1.5,8,Nov,2014,1600
21,143,179,48,120,3,4.4,1008.1,0,NNW,0.7,14,Mar,2016,2900
17,274,274,21,77,130,18.4,1014.3,0,ENE,1,10,Oct,2015,1600
11,297,297,43,124,4,2.6,1015.9,0,SW,1,7,Jan,2018,7500
3,52,59,21,71,22,17.7,1005.6,0,SSW,1.1,9,May,2014,500
16,52,77,37,43,42,-3,1029.3,0,SSE,2.5,29,Jan,2017,1800
6,67,67,2,86,4,22.9,1004.3,0,ENE,1.6,8,Aug,2015,1200
18,21,62,13,20,79,6.6,1013,0,W,2.4,7,Feb,2017,500
8,11,36,23,23,40,23.5,1002.5,0,NW,3.2,29,May,2014,200
10,37,112,42,35,43,4.9,1008,0,WNW,6.2,30,Dec,2014,800
15,40,65,3,28,91,18.5,1007.3,4.8,ENE,1.8,19,Jun,2016,700
11,10,19,4,27,42,23.8,1011.1,0,NNW,1.8,9,Sep,2016,700
7,45,82,32,54,,-7.6,1021.7,0,W,0.7,13,Dec,2014,1500
15,12,52,5,26,32,1,1016.3,0,SW,5.8,3,Dec,2016,400
18,104,104,10,52,12,3.5,1014.6,0,N,0.7,7,Jan,2018,1900
11,7,35,5,15,51,-2.2,1017,0,W,5.7,3,Dec,2015,400
11,16,16,26,27,44,-2.5,1029.5,0,N,0.8,10,Feb,2015,600
15,7,58,8,12,63,19.8,1011,0,W,3.2,5,Nov,2015,400
6,19,25,15,42,19.7064,6.8,1020.8,0,ENE,0.9,4,Nov,2014,600
10,106,106,4,114,10,27.2,1001,0,ENE,0.4,24,Jul,2015,1200
4,9,10,2,24,61,17.4,1000.7,0,NE,1.3,22,Jun,2015,400
1,175,202,13,24,126,27.3,996.9,0,E,2,24,Jun,2016,1200
0,150,150,6,24,119,20.9,993.4,0,ESE,2.7,1,May,2017,1200
17,38,214,8,27,148,24.8,1009.6,0,SW,4.7,22,Apr,2016,400
6,122,128,49,78,6,-2,1007,0,NW,0.8,18,Jan,2016,2800
1,57,85,6,77,,5.8,1017.9,0,ENE,0.5,21,Oct,2014,700
21,94,130,2,37,133,30.7,1000.9,0,ESE,2.2,4,Aug,2017,1800
0,18,18,2,11,102,19.8,1004.2,0.2,NNW,1.5,31,Aug,2015,700
4,22,35,2,12,99,20.6,1000.9,0,NNW,1.1,21,Jun,2016,400
15,15,15,2,19,71,29.4,1008.4,0,NE,3.9,25,Aug,2017,200
18,126,130,28,43,133,-0.1,1029.7,0,S,1.5,30,Jan,2018,900
21,23,58,2,33,110,26.3,1009.6,0,SSE,1.8,3,Sep,2016,700
4,248,300,32,152,2,8.6,1004.6,0,NE,0.8,26,Mar,2015,1800
3,11,24,17,33,38,1,1019,0,NW,2.1,21,Jan,2016,600
5,114,135,5,132,2,24.7,998.5,0,SE,0.8,21,Aug,2015,1300
17,11,22,4,19,91,30.8,1003.4,0,W,2,9,Sep,2017,200
3,189,189,2,73,53,15.6,1011.1,0,NW,0.9,2,Oct,2017,1200
17,9,9,3,12,77,33.9,992.2,0,NW,1.5,16,Jul,2014,300
13,25,53,8,21,86,23.1,1010.4,0,NNE,5.5,22,Mar,2015,400
18,63,95,13,57,40,5.8,1026.3,0,SW,1.1,1,Nov,2017,700
2,42,121,15,69,42,14.3,994.6,0,WSW,0.1,13,May,2015,600
18,16,51,5,15,193,30.1,1000,0,SW,3,29,May,2017,200
22,46,81,2,70,8,6.3,1019.2,0,NW,1.3,31,Oct,2016,800
10,68,68,5,20,120,28.4,1001.8,0,ESE,1.4,2,Jul,2017,800
10,18,18,24,41,11.5668,-0.2,1021.4,0,WSW,3.5,13,Dec,2014,1222.923
2,59,59,4,33,36,9.8,1007.5,0,NNW,1.4,20,Apr,2016,700
6,22,46,2,40,50,26.7,997.9,0,ESE,1,29,Jun,2015,400
2,96,96,10,87,67,22.9,997.6,0,ENE,0.7,6,Jun,2015,800
17,7,31,2,13,84,25.1,1001.2,0,NNW,5.1,6,May,2017,300
20,114,125,21,39,132,20.2,1007,0,E,0.7,4,May,2014,700
18,119,132,4,84,3,5.6,1027,0,ESE,0.7,11,Nov,2016,2500
17,55,55,2,18,166,27.8,1001.2,0,SE,3.3,18,Aug,2016,600
5,49,73,2,83,3,22.8,1002.8,0,NNE,1,19,Aug,2016,600
4,51,5,7,25,54,11.3,1016.3,0,NNW,3.3,3,Apr,2015,600
1,22,60,7,47,3,12.8,1022.8,0,SSE,1.3,30,Sep,2015,600
10,204,240,12,73,,14.2,1000.4,0,NE,1.3,13,Apr,2017,1600
20,130,146,9,21,262,28.8,1003.9,0,SSW,1.1,6,Jun,2017,1000
19,9,18,3,30,83,24.7,988.5,0,WNW,5,12,Jun,2016,500
12,12,96,5,66,55,9.2,1013,0,WNW,5.7,7,Mar,2017,500
13,38,65,5,34,156,28,1005.6,0,SSW,1.4,21,Sep,2014,500
12,95,146,19,38,98,16.8,1011.9,0,SSE,1.9,27,Mar,2016,800
3,12,18,2,25,53,21.6,993.9,0,NNE,1,14,Jul,2015,300
12,98,98,4,40,71,25.1,999.4,0,SSE,2.3,21,Jun,2015,1200
16,19,19,2,14,99,19.9,1011.4,0,SSE,2.3,6,Oct,2015,300
2,126,129,18,73,4,-1.5,1021,0,ENE,1.6,22,Feb,2017,2200
5,12,16,24,20,40,1,1019,0,NNE,2.4,21,Jan,2016,700
10,139,175,89,68,16,4.4,1014.2,0,ESE,1.4,8,Mar,2015,2700
12,48,80,46,57,9,4.2,1033,0,ENE,1.5,14,Dec,2015,1200
11,6,44,2,10,79,16.5,1018,0,NNW,3.4,5,Apr,2015,300
